"Date","Price","Open","High","Low","Vol.","Change %"
"27/09/2018","27,742.0","27,823.0","27,929.0","27,710.0","41.97K","-0.27%"
"28/09/2018","27,877.0","27,707.0","27,935.0","27,649.0","221.52K","0.49%"
"02/10/2018","26,994.0","27,874.0","27,874.0","26,991.0","222.33K","-3.17%"
"03/10/2018","27,057.0","26,991.0","27,252.0","26,871.0","212.17K","0.23%"
"04/10/2018","26,563.0","27,019.0","27,175.0","26,490.0","203.63K","-1.83%"
"05/10/2018","26,459.0","26,556.0","26,632.0","26,243.0","202.56K","-0.39%"
"08/10/2018","26,147.0","26,459.0","26,771.0","26,128.0","263.45K","-1.18%"
"09/10/2018","26,060.0","26,147.0","26,342.0","25,971.0","262.29K","-0.33%"
"10/10/2018","26,165.0","26,061.0","26,470.0","25,947.0","264.34K","0.40%"
"11/10/2018","25,187.0","26,173.0","26,256.0","25,123.0","309.25K","-3.74%"
"12/10/2018","25,690.0","25,186.0","25,788.0","25,080.0","322.93K","2.00%"
"15/10/2018","25,343.0","25,676.0","25,777.0","25,330.0","233.34K","-1.35%"
"16/10/2018","25,387.0","25,340.0","25,680.0","25,208.0","258.27K","0.17%"
"18/10/2018","25,407.0","25,380.0","25,775.0","25,211.0","251.21K","0.08%"
"19/10/2018","25,457.0","25,402.0","25,723.0","25,046.0","312.86K","0.20%"
"22/10/2018","26,132.0","25,474.0","26,222.0","25,382.0","298.40K","2.65%"
"23/10/2018","25,336.0","26,134.0","26,163.0","25,266.0","316.39K","-3.05%"
"24/10/2018","25,212.0","25,305.0","25,654.0","25,050.0","375.66K","-0.49%"
"25/10/2018","24,896.0","25,205.0","25,408.0","24,601.0","338.50K","-1.25%"
"26/10/2018","24,657.0","24,893.0","25,146.0","24,526.0","342.46K","-0.96%"
"29/10/2018","24,765.0","24,634.0","24,997.0","24,457.0","275.22K","0.44%"
"30/10/2018","24,722.0","24,771.0","25,041.0","24,572.0","54.55K","-0.17%"
"31/10/2018","24,911.0","24,578.0","24,961.0","24,474.0","268.86K","0.76%"
"01/11/2018","25,342.0","24,919.0","25,516.0","24,858.0","262.46K","1.73%"
"02/11/2018","26,493.0","25,350.0","26,502.0","25,323.0","330.52K","4.54%"
"05/11/2018","25,897.0","26,486.0","26,758.0","25,720.0","300.02K","-2.25%"
"06/11/2018","26,036.0","25,886.0","26,166.0","25,799.0","238.35K","0.54%"
"07/11/2018","26,161.0","26,032.0","26,524.0","25,861.0","299.74K","0.48%"
"08/11/2018","26,224.0","26,164.0","26,614.0","26,104.0","234.77K","0.24%"
"09/11/2018","25,462.0","26,204.0","26,229.0","25,407.0","234.98K","-2.91%"
"12/11/2018","25,551.0","25,461.0","25,753.0","25,312.0","232.11K","0.35%"
"13/11/2018","25,837.0","25,546.0","25,859.0","25,006.0","304.80K","1.12%"
"14/11/2018","25,554.0","25,807.0","25,993.0","25,430.0","256.31K","-1.10%"
"15/11/2018","26,047.0","25,538.0","26,136.0","25,476.0","275.74K","1.93%"
"16/11/2018","26,115.0","26,034.0","26,193.0","25,785.0","269.55K","0.26%"
"19/11/2018","26,290.0","26,107.0","26,378.0","25,958.0","245.69K","0.67%"
"20/11/2018","25,794.0","26,280.0","26,317.0","25,700.0","238.24K","-1.89%"
"21/11/2018","25,903.0","25,775.0","25,976.0","25,414.0","278.77K","0.42%"
"22/11/2018","25,931.0","25,916.0","26,204.0","25,810.0","208.52K","0.11%"
"23/11/2018","25,895.0","25,927.0","26,036.0","25,755.0","187.42K","-0.14%"
"26/11/2018","26,402.0","25,876.0","26,427.0","25,772.0","260.68K","1.96%"
"27/11/2018","26,256.0","26,404.0","26,512.0","26,138.0","270.86K","-0.55%"
"28/11/2018","26,612.0","26,338.0","26,722.0","26,197.0","196.86K","1.36%"
"29/11/2018","26,590.0","26,612.0","26,946.0","26,523.0","36.89K","-0.08%"
"30/11/2018","26,531.0","26,441.0","26,730.0","26,321.0","241.92K","-0.22%"
"03/12/2018","27,284.0","26,525.0","27,326.0","26,435.0","230.27K","2.84%"
"04/12/2018","27,271.0","27,278.0","27,329.0","27,041.0","229.93K","-0.05%"
"05/12/2018","26,765.0","27,266.0","27,296.0","26,724.0","198.79K","-1.86%"
"06/12/2018","26,160.0","26,790.0","26,905.0","26,006.0","234.13K","-2.26%"
"07/12/2018","26,075.0","26,130.0","26,308.0","25,814.0","206.33K","-0.32%"
"10/12/2018","25,704.0","26,096.0","26,369.0","25,551.0","206.14K","-1.42%"
"11/12/2018","25,715.0","25,740.0","25,862.0","25,403.0","207.09K","0.04%"
"12/12/2018","26,238.0","25,714.0","26,275.0","25,710.0","206.95K","2.03%"
"13/12/2018","26,529.0","26,245.0","26,626.0","26,245.0","210.35K","1.11%"
"14/12/2018","26,040.0","26,515.0","26,515.0","26,020.0","178.71K","-1.84%"
"17/12/2018","26,077.0","26,028.0","26,231.0","25,920.0","174.64K","0.14%"
"18/12/2018","25,820.0","26,098.0","26,193.0","25,700.0","235.51K","-0.99%"
"19/12/2018","25,923.0","25,852.0","26,018.0","25,784.0","170.80K","0.40%"
"20/12/2018","25,534.0","25,918.0","26,094.0","25,374.0","245.61K","-1.50%"
"21/12/2018","25,657.0","25,569.0","25,793.0","25,307.0","265.91K","0.48%"
"24/12/2018","25,626.0","25,645.0","25,806.0","25,400.0","158.49K","-0.12%"
"27/12/2018","25,394.0","25,880.0","25,940.0","25,322.0","152.99K","-0.91%"
"28/12/2018","25,504.0","25,355.0","25,584.0","25,216.0","44.10K","0.43%"
"31/12/2018","25,854.0","25,588.0","26,000.0","25,545.0","95.33K","1.37%"
"02/01/2019","24,975.0","25,856.0","25,868.0","24,975.0","192.59K","-3.40%"
"03/01/2019","25,057.0","25,030.0","25,363.0","24,876.0","214.87K","0.33%"
"04/01/2019","25,601.0","25,055.0","25,659.0","24,893.0","241.65K","2.17%"
"07/01/2019","25,865.0","25,600.0","26,098.0","25,588.0","201.56K","1.03%"
"08/01/2019","25,903.0","25,835.0","26,006.0","25,713.0","197.70K","0.15%"
"09/01/2019","26,515.0","25,917.0","26,652.0","25,915.0","229.68K","2.36%"
"10/01/2019","26,470.0","26,518.0","26,636.0","26,228.0","232.70K","-0.17%"
"11/01/2019","26,696.0","26,464.0","26,746.0","26,461.0","200.76K","0.85%"
"14/01/2019","26,302.0","26,706.0","26,738.0","26,164.0","180.42K","-1.48%"
"15/01/2019","26,752.0","26,302.0","26,874.0","26,254.0","222.86K","1.71%"
"16/01/2019","26,905.0","26,731.0","26,938.0","26,559.0","199.00K","0.57%"
"17/01/2019","26,769.0","26,890.0","27,041.0","26,666.0","236.85K","-0.51%"
"18/01/2019","27,100.0","26,785.0","27,144.0","26,764.0","187.74K","1.24%"
"21/01/2019","27,240.0","27,102.0","27,361.0","27,013.0","191.14K","0.52%"
"22/01/2019","27,003.0","27,201.0","27,271.0","26,835.0","197.12K","-0.87%"
"23/01/2019","26,985.0","27,006.0","27,160.0","26,875.0","201.37K","-0.07%"
