Date,Close,High,Low,Open,Volume,Returns
2021-12-13,23954.580078125,24385.439453125,23936.9296875,24242.259765625,1538100000,-0.001714498410320342
2021-12-14,23635.94921875,23817.580078125,23560.130859375,23693.73046875,1553600000,-0.013301458774723773
2021-12-15,23420.759765625,23745.75,23325.919921875,23658.0390625,1597100000,-0.009104328797351346
2021-12-16,23475.5,23526.05078125,23155.619140625,23287.9296875,1499000000,0.002337252716085869
2021-12-17,23192.630859375,23463.779296875,23158.69921875,23463.779296875,2188700000,-0.012049547001128813
2021-12-20,22744.859375,23145.30078125,22665.25,23079.830078125,1681600000,-0.01930662748396228
2021-12-21,22971.330078125,23100.1796875,22730.080078125,22795.5703125,1651200000,0.009957006081731334
2021-12-22,23102.330078125,23258.7109375,22979.759765625,23221.130859375,1230800000,0.005702760769814796
2021-12-23,23193.640625,23264.75,23027.150390625,23141.7890625,1387900000,0.003952438847779183
2021-12-24,23223.759765625,23383.189453125,23186.5703125,23375.990234375,622900000,0.0012985947791455121
2021-12-28,23280.560546875,23319.439453125,23099.48046875,23282.349609375,1433000000,0.002445804719960698
2021-12-29,23086.5390625,23253.98046875,23008.279296875,23253.98046875,828400000,-0.008334055530335727
2021-12-30,23112.009765625,23248.259765625,22990.240234375,23130.44921875,1008400000,0.0011032707438756173
2021-12-31,23397.669921875,23590.119140625,23394.76953125,23553.7890625,675900000,0.012359814622217247
2022-01-03,23274.75,23605.029296875,23193.189453125,23510.5390625,734300000,-0.00525351123788953
2022-01-04,23289.83984375,23439.30078125,23146.890625,23400.619140625,1760100000,0.000648335374171527
2022-01-05,22907.25,23323.76953125,22851.5,23323.76953125,2768900000,-0.016427328239127847
2022-01-06,23072.859375,23082.94921875,22709.599609375,22843.19921875,1765800000,0.007229561601676426
2022-01-07,23493.380859375,23497.5,23162.849609375,23318.919921875,2602300000,0.018225807106970304
2022-01-10,23746.5390625,23790.51953125,23399.08984375,23523.900390625,2544900000,0.010775724645181395
2022-01-11,23739.060546875,23863.830078125,23595.009765625,23678.689453125,2331500000,-0.00031493076129185393
2022-01-12,24402.169921875,24402.169921875,24069.51953125,24069.51953125,2489500000,0.02793326103577809
2022-01-13,24429.76953125,24561.48046875,24289.189453125,24561.48046875,2160500000,0.0011310309477952085
2022-01-14,24383.3203125,24383.3203125,24140.810546875,24185.859375,1840000000,-0.001901336755984695
2022-01-17,24218.029296875,24408.880859375,24111.740234375,24390.2890625,1633500000,-0.006778855935393846
2022-01-18,24112.779296875,24385.05078125,24009.7109375,24274.75,1638900000,-0.004345935778250154
2022-01-19,24127.849609375,24286.140625,23951.599609375,24229.779296875,1729900000,0.0006249927606625238
2022-01-20,24952.349609375,24952.349609375,24233.1796875,24263.150390625,2531400000,0.03417212944164061
2022-01-21,24965.55078125,24982.029296875,24723.919921875,24897.58984375,2370100000,0.0005290552625969447
2022-01-24,24656.4609375,24795.5390625,24570.869140625,24693.4296875,1871500000,-0.012380653904184524
2022-01-25,24243.609375,24366.890625,24001.9609375,24251.220703125,2183400000,-0.016744153329486755
2022-01-26,24289.900390625,24487.30078125,24123.69921875,24342.900390625,1959600000,0.001909411049690224
2022-01-27,23807.0,23952.009765625,23565.0,23952.009765625,1846800000,-0.01988070691353605
2022-01-28,23550.080078125,23848.01953125,23507.029296875,23818.939453125,1777200000,-0.010791780647498639
2022-01-31,23802.259765625,23975.69921875,23469.759765625,23624.140625,995500000,0.010708230573459598
2022-02-04,24573.2890625,24609.330078125,24140.890625,24392.859375,1832900000,0.032393113278618824
2022-02-07,24579.55078125,24616.5,24365.890625,24609.4296875,2538100000,0.00025481809675831357
2022-02-08,24329.490234375,24548.05078125,24149.75,24548.05078125,2294900000,-0.010173519813297505
2022-02-09,24829.990234375,24896.4296875,24690.44921875,24727.33984375,2511100000,0.02057174216058355
2022-02-10,24924.349609375,25050.58984375,24649.740234375,25050.58984375,2097900000,0.0038002179666332125
2022-02-11,24906.66015625,24957.810546875,24732.650390625,24837.19921875,2514700000,-0.0007097257662581624
2022-02-14,24556.5703125,24733.109375,24482.859375,24725.099609375,1978800000,-0.014056073417862525
2022-02-15,24355.7109375,24570.08984375,24219.900390625,24458.5,2625900000,-0.008179455536498792
2022-02-16,24718.900390625,24728.9296875,24548.05078125,24618.30078125,1815200000,0.014911880587554771
2022-02-17,24792.76953125,24861.8203125,24523.94921875,24722.880859375,1566200000,0.0029883667743171305
2022-02-18,24327.7109375,24763.369140625,24284.529296875,24633.66015625,1677800000,-0.018757831518734447
2022-02-21,24170.0703125,24231.080078125,23998.76953125,24109.58984375,1618300000,-0.0064798790730863365
2022-02-22,23520.0,23813.640625,23336.779296875,23692.5390625,2057600000,-0.02689567320637065
2022-02-23,23660.279296875,23745.0703125,23500.919921875,23617.970703125,1416000000,0.005964255819515207
2022-02-24,22901.560546875,23376.369140625,22786.390625,23268.029296875,2997700000,-0.03206719331078267
2022-02-25,22767.1796875,23046.859375,22718.150390625,22908.099609375,2524300000,-0.0058677599327761065
2022-02-28,22713.01953125,22818.169921875,22406.119140625,22818.169921875,2833800000,-0.002378869802645567
2022-03-01,22761.7109375,22937.560546875,22591.73046875,22739.83984375,1796000000,0.0021437663179484368
2022-03-02,22343.919921875,22712.439453125,22299.140625,22568.359375,2227900000,-0.01835499171271382
2022-03-03,22467.33984375,22543.419921875,22378.109375,22434.259765625,1937700000,0.005523646804434179
2022-03-04,21905.2890625,22017.939453125,21838.990234375,21879.130859375,2438200000,-0.02501634751416071
2022-03-07,21057.630859375,21327.189453125,20826.359375,21308.900390625,3322900000,-0.038696508441704136
2022-03-08,20765.869140625,21303.51953125,20638.94921875,21082.390625,3232000000,-0.013855391458726496
2022-03-09,20627.7109375,20957.720703125,20102.5703125,20820.01953125,3674600000,-0.006653138483605159
2022-03-10,20890.259765625,21114.439453125,20709.619140625,21106.5703125,2694300000,0.012727967195220957
2022-03-11,20553.7890625,20778.859375,20079.150390625,20460.029296875,3020000000,-0.016106583015241593
2022-03-14,19531.66015625,20203.83984375,19416.779296875,20203.83984375,4096100000,-0.049729463659566986
2022-03-15,18415.080078125,19392.689453125,18235.48046875,18931.1796875,6012800000,-0.05716769947831091
2022-03-16,20087.5,20120.849609375,18584.0390625,18956.01953125,5501100000,0.09081795543542825
2022-03-17,21501.23046875,21501.23046875,20786.689453125,21430.7109375,4826200000,0.07037861698817682
2022-03-18,21412.400390625,21646.150390625,20922.369140625,21232.880859375,4590500000,-0.004131395096392598
2022-03-21,21221.33984375,21823.0703125,21096.310546875,21823.0703125,2340000000,-0.008922892501050605
2022-03-22,21889.279296875,21906.3203125,21266.900390625,21319.189453125,2590400000,0.031474895461028884
2022-03-23,22154.080078125,22423.509765625,21983.099609375,22088.7890625,2835700000,0.012097281854674957
2022-03-24,21945.94921875,22231.669921875,21900.130859375,22002.869140625,2404800000,-0.009394696536305647
2022-03-25,21404.880859375,21944.080078125,21289.259765625,21735.609375,2358200000,-0.024654589053397014
2022-03-28,21684.970703125,21790.970703125,21202.689453125,21422.19921875,2200300000,0.01308532598663481
2022-03-29,21927.630859375,21937.26953125,21722.169921875,21771.2890625,2259300000,0.011190245980596591
2022-03-30,22232.029296875,22391.349609375,22033.779296875,22101.630859375,2729600000,0.013881957401241873
2022-03-31,21996.849609375,22262.16015625,21922.580078125,22262.16015625,2226300000,-0.010578417487649538
2022-04-01,22039.55078125,22039.55078125,21558.05078125,21693.099609375,1937500000,0.0019412403427443436
2022-04-04,22502.310546875,22523.640625,22124.029296875,22227.109375,1868100000,0.02099678755787937
2022-04-06,22080.51953125,22244.990234375,22015.119140625,22220.2109375,2749800000,-0.01874434248635748
2022-04-07,21808.98046875,22236.9296875,21779.189453125,21910.400390625,2079000000,-0.012297675429044919
2022-04-08,21872.009765625,21872.009765625,21568.220703125,21667.529296875,1739900000,0.002890061594823967
2022-04-11,21208.30078125,21688.029296875,21132.5390625,21688.029296875,2104900000,-0.030345130213781935
2022-04-12,21319.130859375,21519.130859375,20988.19921875,21279.1796875,2045300000,0.005225787736044429
2022-04-13,21374.369140625,21531.48046875,21141.060546875,21192.619140625,1696900000,0.0025910193813416527
2022-04-14,21518.080078125,21587.470703125,21358.73046875,21463.349609375,1719400000,0.006723517150588387
2022-04-19,21027.759765625,21191.80078125,20896.4296875,21106.0,2240100000,-0.022786434046151438
2022-04-20,20944.669921875,21214.98046875,20889.01953125,20972.83984375,1876400000,-0.003951435848426943
2022-04-21,20682.220703125,20920.599609375,20483.859375,20780.859375,2226200000,-0.012530597031557567
2022-04-22,20638.51953125,20709.490234375,20184.9609375,20261.609375,2351300000,-0.002112982570986577
2022-04-25,19869.33984375,20284.599609375,19784.279296875,20284.599609375,2912300000,-0.037269130973049625
2022-04-26,19934.7109375,20258.640625,19858.359375,19989.0390625,2565700000,0.0032900486007119145
2022-04-27,19946.359375,20053.109375,19665.490234375,19723.4609375,2361000000,0.0005843293909062464
2022-04-28,20276.169921875,20286.830078125,19956.669921875,20118.7890625,2255700000,0.016534874393588472
2022-04-29,21089.390625,21176.580078125,20040.0703125,20271.400390625,2727100000,0.04010721483684421
2022-05-03,21101.890625,21291.80078125,20648.529296875,20927.619140625,1741700000,0.000592715087043949
2022-05-04,20869.51953125,21047.130859375,20772.80078125,21025.69921875,1139900000,-0.011011861348324103
2022-05-05,20793.400390625,21284.849609375,20776.970703125,21163.150390625,1827100000,-0.0036473834728690813
2022-05-06,20001.9609375,20320.279296875,19973.470703125,20287.060546875,2110600000,-0.038062050374494394
2022-05-10,19633.689453125,19758.630859375,19178.890625,19300.6796875,2785700000,-0.018411769002336098
2022-05-11,19824.5703125,20083.490234375,19474.029296875,19511.80078125,1958400000,0.00972210851305988
2022-05-12,19380.33984375,19731.26953125,19342.890625,19556.890625,2273600000,-0.022408075521813453
2022-05-13,19898.76953125,19925.439453125,19608.259765625,19615.990234375,2075300000,0.026750288781297593
2022-05-16,19950.2109375,20173.220703125,19764.9609375,20131.529296875,1796400000,0.0025851551358093694
2022-05-17,20602.51953125,20626.419921875,20169.240234375,20193.599609375,2207400000,0.03269682690541731
2022-05-18,20644.279296875,20711.9296875,20389.609375,20674.23046875,1946000000,0.0020269251807605304
2022-05-19,20120.6796875,20277.939453125,19924.869140625,20146.9609375,2120900000,-0.02536293962338798
2022-05-20,20717.240234375,20794.130859375,20408.6796875,20470.94921875,2173100000,0.02964912498684691
2022-05-23,20470.060546875,20642.759765625,20303.55078125,20608.650390625,1696100000,-0.01193111074176123
2022-05-24,20112.099609375,20509.619140625,19989.619140625,20420.140625,1825200000,-0.01748704830062886
